Type,Price,Location,Baths,Area,Beds,Lat,Lng
House,PKR2.3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR55 Thousand,"Park View City, Lahore, Punjab",3,10 Marla,3,31.4527726,74.2025244
Upper Portion,PKR15 Thousand,"Al Rehman Garden, Lahore, Punjab",3,3 Marla,2,31.5948421,74.4540282
House,PKR22 Thousand,"Al Rehman Garden, Lahore, Punjab",3,4 Marla,1,31.5948421,74.4540282
House,PKR25 Thousand,"Al Rehman Garden, Lahore, Punjab",3,5 Marla,2,31.5948421,74.4540282
Room,PKR50 Thousand,"DHA Defence, Lahore, Punjab",1,1 Kanal,1,31.4676379,74.3807788
Flat,PKR23 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,3 Marla,2,31.42053739999999,74.28395309999999
House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",5,6 Marla,5,31.5948421,74.4540282
House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
House,PKR1.3 Lakh,"Park View City, Lahore, Punjab",5,10 Marla,5,31.4527726,74.2025244
Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",3,10 Marla,2,31.3623068,74.2193999
House,PKR45 Thousand,"Al Rehman Garden, Lahore, Punjab",6,6 Marla,5,31.5948421,74.4540282
House,PKR1.1 Lakh,"Eden, Lahore, Punjab",4,12 Marla,4,31.4639288,74.2170853
Upper Portion,PKR25 Thousand,"Sultan Town, Lahore, Punjab",2,3 Marla,2,31.4605393,74.2421428
House,PKR65 Thousand,"Wapda Town, Lahore, Punjab",3,5 Marla,3,31.4311985,74.26435819999999
House,PKR1.85 Lakh,"Wapda Town, Lahore, Punjab",5,1 Kanal,5,31.4311985,74.26435819999999
Lower Portion,PKR38 Thousand,"Cavalry Ground, Lahore, Punjab",1,7 Marla,1,31.5004073,74.36607839999999
Upper Portion,PKR40 Thousand,"Beacon House Society, Lahore, Punjab",4,10 Marla,3,31.3623068,74.2193999
Upper Portion,PKR60 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,1 Kanal,3,31.4328323,74.2487451
Upper Portion,PKR45 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",4,10 Marla,3,31.4328323,74.2487451
Upper Portion,PKR65 Thousand,"Cavalry Ground, Lahore, Punjab",3,1 Kanal,3,31.5004073,74.36607839999999
House,PKR1.32 Lakh,"Divine Gardens, Lahore, Punjab",6,10 Marla,5,31.5032221,74.41665480000002
Lower Portion,PKR70 Thousand,"Jail Road, Lahore, Punjab",2,12 Marla,2,31.5388622,74.3357285
Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,3,31.4676379,74.3807788
Upper Portion,PKR47 Thousand,"Paragon City, Lahore, Punjab",2,10 Marla,2,31.5296195,74.4554936
House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3,31.4676379,74.3807788
Upper Portion,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
Upper Portion,PKR65 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3,31.4676379,74.3807788
House,PKR2 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4,31.5202806,74.4256343
House,PKR1.65 Lakh,"Ring Road, Lahore, Punjab",5,10 Marla,4,31.5388036,74.2648567
House,PKR1.5 Lakh,"Airport Road, Lahore, Punjab",5,10 Marla,4,31.5202806,74.4256343
Lower Portion,PKR1.25 Lakh,"Ring Road, Lahore, Punjab",2,10 Marla,2,31.5388036,74.2648567
Upper Portion,PKR75 Thousand,"Jail Road, Lahore, Punjab",4,1 Kanal,3,31.5388622,74.3357285
House,PKR1.2 Lakh,"Park View City, Lahore, Punjab",-,10 Marla,-,31.4527726,74.2025244
Flat,PKR60 Thousand,"Bahria Town, Lahore, Punjab",2,3.1 Marla,2,31.3694884,74.1768412
Flat,PKR28 Thousand,"Bahria Town, Lahore, Punjab",1,1.8 Marla,1,31.3694884,74.1768412
Flat,PKR19 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1,31.5196113,74.388925
House,PKR40 Thousand,"Bahria Nasheman, Lahore, Punjab",4,5 Marla,3,31.3190793,74.4034624
Upper Portion,PKR40 Thousand,"Bahria Town, Lahore, Punjab",4,8 Marla,3,31.3694884,74.1768412
House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",7,8 Marla,5,31.3694884,74.1768412
Upper Portion,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3,31.3694884,74.1768412
Upper Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,2,31.3694884,74.1768412
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2,31.3694884,74.1768412
Upper Portion,PKR30 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2,31.3694884,74.1768412
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",2,8 Marla,2,31.3694884,74.1768412
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5,31.4676379,74.3807788
Upper Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3,31.3694884,74.1768412
