Type,Price,Location,Baths,Area,Beds
Upper Portion,PKR25 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,2
Lower Portion,PKR35 Thousand,"Cantt, Lahore, Punjab",3,6 Marla,2
Upper Portion,PKR25 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,2
House,PKR55 Thousand,"Raiwind Road, Lahore, Punjab",4,5 Marla,4
Upper Portion,PKR65 Thousand,"Johar Town, Lahore, Punjab",3,12 Marla,3
Upper Portion,PKR65 Thousand,"Johar Town, Lahore, Punjab",3,12 Marla,3
House,PKR75 Thousand,"Wapda Town, Lahore, Punjab",4,1.2 Kanal,3
Upper Portion,PKR33 Thousand,"Johar Town, Lahore, Punjab",2,7 Marla,2
Upper Portion,PKR15 Thousand,"Walton Road, Lahore, Punjab",2,3 Marla,2
House,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR60 Thousand,"GOR, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR40 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,2
Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
House,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR65 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR60 Thousand,"GOR, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR40 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,2
Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
House,PKR75 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,4
Flat,PKR30 Thousand,"Park View City, Lahore, Punjab",1,4 Marla,1
Upper Portion,PKR35 Thousand,"NFC 1, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR35 Thousand,"GT Road, Lahore, Punjab",3,7 Marla,3
Upper Portion,PKR39 Thousand,"Punjab Small Industries Colony, Lahore, Punjab",3,7 Marla,3
House,PKR5 Lakh,"Garden Town, Lahore, Punjab",-,3 Kanal,6
Lower Portion,PKR42 Thousand,"Garden Town, Lahore, Punjab",1,12 Marla,1
House,PKR1 Lakh,"Model Town, Lahore, Punjab",4,1 Kanal,4
Lower Portion,PKR1.25 Lakh,"Garden Town, Lahore, Punjab",3,1.5 Kanal,3
Upper Portion,PKR48 Thousand,"Johar Town, Lahore, Punjab",5,7 Marla,5
House,PKR34 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR37 Thousand,"Main Canal Bank Road, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR40 Thousand,"P & D Housing Society, Lahore, Punjab",3,15 Marla,3
Upper Portion,PKR50 Thousand,"P & D Housing Society, Lahore, Punjab",3,15 Marla,3
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",3,5 Marla,3
House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
House,PKR60 Thousand,"Garden Town, Lahore, Punjab",4,7 Marla,4
House,PKR30 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,5 Marla,2
House,PKR1.5 Lakh,"Garden Town, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR1.25 Lakh,"Garden Town, Lahore, Punjab",3,1.5 Kanal,3
House,PKR3.5 Lakh,"Garden Town, Lahore, Punjab",7,2 Kanal,6
Flat,PKR35 Thousand,"Garden Town, Lahore, Punjab",2,4.4 Marla,2
Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Flat,PKR25 Thousand,"Johar Town, Lahore, Punjab",1,1.8 Marla,1
House,PKR65 Thousand,"Bahria Nasheman, Lahore, Punjab",6,8 Marla,5
House,PKR10 Thousand,"Manga Mandi, Lahore, Punjab",3,3 Marla,4
Upper Portion,PKR68 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,3
House,PKR15 Thousand,"Sodiwal, Lahore, Punjab",3,5 Marla,3
House,PKR80 Thousand,"Salamatpura, Lahore, Punjab",-,9.7 Marla,-
Upper Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
House,PKR1.41 Lakh,"DHA Defence, Lahore, Punjab",7,1 Kanal,6
Upper Portion,PKR80 Thousand,"Valencia Housing Society, Lahore, Punjab",2,12 Marla,2
Upper Portion,PKR25 Thousand,"Cantt, Lahore, Punjab",3,5 Marla,2
House,PKR3.5 Lakh,"New Garden Town, Lahore, Punjab",6,1 Kanal,4
Lower Portion,PKR23 Thousand,"Township, Lahore, Punjab",1,5 Marla,3
Lower Portion,PKR45 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
House,PKR55 Thousand,"Garden Town, Lahore, Punjab",3,5 Marla,3
House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",6,1 Kanal,5
House,PKR3.5 Lakh,"New Garden Town, Lahore, Punjab",6,1 Kanal,4
Lower Portion,PKR23 Thousand,"Township, Lahore, Punjab",1,5 Marla,3
Lower Portion,PKR45 Thousand,"Punjab University Employees Society, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR30 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
House,PKR55 Thousand,"Garden Town, Lahore, Punjab",3,5 Marla,3
House,PKR2.25 Lakh,"Garden Town, Lahore, Punjab",6,1 Kanal,5
House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
Flat,PKR26 Thousand,"Peco Road, Lahore, Punjab",1,1.4 Marla,-
Lower Portion,PKR65 Thousand,"Bahria Town, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR24 Thousand,"Johar Town, Lahore, Punjab",1,5 Marla,1
Upper Portion,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR27 Thousand,"Green Town Sector D2, Lahore, Punjab",3,5 Marla,3
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
Flat,PKR23 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,2 Marla,1
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
House,PKR55 Thousand,"Icon Valley, Lahore, Punjab",4,5 Marla,4
Upper Portion,PKR15 Thousand,"Township, Lahore, Punjab",1,5 Marla,2
Upper Portion,PKR33 Thousand,"Township, Lahore, Punjab",3,5 Marla,3
Flat,PKR19.5 Thousand,"Mozang, Lahore, Punjab",2,3 Marla,1
Lower Portion,PKR40 Thousand,"Jubilee Town, Lahore, Punjab",2,10 Marla,2
Lower Portion,PKR32 Thousand,"Sunny Park, Lahore, Punjab",3,7 Marla,4
House,PKR27 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,5 Marla,2
House,PKR3.1 Lakh,"Bahria Town, Lahore, Punjab",4,1 Kanal,4
Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Flat,PKR33 Thousand,"Model Town, Lahore, Punjab",1,1.6 Marla,1
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Lower Portion,PKR30 Thousand,"Begampura, Lahore, Punjab",2,10 Marla,4
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,4
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR62 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR65 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR60 Thousand,"Judicial Colony, Lahore, Punjab",3,1 Kanal,3
House,PKR45 Thousand,"Pak Arab Housing Society, Lahore, Punjab",6,3 Marla,3
Lower Portion,PKR45 Thousand,"Pak Arab Housing Society, Lahore, Punjab",2,10 Marla,2
Upper Portion,PKR25 Thousand,"Canal View, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR50 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR62 Thousand,"Model Town, Lahore, Punjab",3,15 Marla,3
Upper Portion,PKR60 Thousand,"Model Town, Lahore, Punjab",3,15 Marla,3
Upper Portion,PKR22 Thousand,"Peer Colony, Lahore, Punjab",2,5 Marla,2
House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR45 Thousand,"Raiwind Road, Lahore, Punjab",6,5 Marla,6
Lower Portion,PKR48 Thousand,"Township, Lahore, Punjab",4,12 Marla,3
Upper Portion,PKR33 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,3
House,PKR57 Thousand,"Dream Avenue Lahore, Lahore, Punjab",4,5 Marla,3
House,PKR25 Thousand,"Gulberg, Lahore, Punjab",2,0.8 Marla,1
Lower Portion,PKR22 Thousand,"Mateen Avenue, Lahore, Punjab",2,5 Marla,1
House,PKR55 Thousand,"Mustafa Town, Lahore, Punjab",5,5 Marla,5
House,PKR40 Thousand,"Mustafa Town, Lahore, Punjab",3,3 Marla,3
Upper Portion,PKR98 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
Lower Portion,PKR35 Thousand,"Military Accounts Housing Society, Lahore, Punjab",3,8 Marla,3
House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",5,10 Marla,4
Lower Portion,PKR25 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,1
House,PKR16 Thousand,"Immad Garden Housing Scheme, Lahore, Punjab",1,3 Marla,2
Room,PKR12 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,6 Marla,2
Upper Portion,PKR50 Thousand,"IEP Engineers Town, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR40 Thousand,"Township, Lahore, Punjab",4,10 Marla,3
Lower Portion,PKR15 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,1
Upper Portion,PKR17 Thousand,"Karim Park, Lahore, Punjab",2,3 Marla,2
Flat,PKR23 Thousand,"Raiwind Road, Lahore, Punjab",1,3 Marla,1
Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
House,PKR4 Lakh,"Gulberg, Lahore, Punjab",9,1 Kanal,8
Room,PKR2.5 Thousand,"Manawan, Lahore, Punjab",1,0.4 Marla,1
House,PKR50 Thousand,"Multan Road, Lahore, Punjab",2,5 Marla,3
Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,2
Upper Portion,PKR30 Thousand,"Cantt, Lahore, Punjab",1,10 Marla,1
Upper Portion,PKR98 Thousand,"Gulberg, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",3,10 Marla,3
Flat,PKR22 Thousand,"Johar Town, Lahore, Punjab",1,4 Marla,1
Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
House,PKR30 Thousand,"Grand Avenues Housing Scheme, Lahore, Punjab",6,5 Marla,3
House,PKR35 Thousand,"New Samanabad, Lahore, Punjab",3,5 Marla,3
House,PKR3.3 Lakh,"Raiwind Road, Lahore, Punjab",8,1 Kanal,8
Flat,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
Lower Portion,PKR23 Thousand,"Park View City, Lahore, Punjab",2,5.4 Marla,2
Lower Portion,PKR25 Thousand,"Ferozepur Road, Lahore, Punjab",2,4 Marla,2
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR1 Lakh,"PCSIR Housing Scheme, Lahore, Punjab",10,10 Marla,5
House,PKR1.15 Lakh,"Valencia Housing Society, Lahore, Punjab",6,12 Marla,5
Upper Portion,PKR40 Thousand,"Valencia Housing Society, Lahore, Punjab",3,10 Marla,3
House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
Upper Portion,PKR88 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Upper Portion,PKR34 Thousand,"IEP Engineers Town, Lahore, Punjab",4,10 Marla,4
House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",4,10 Marla,4
House,PKR75 Thousand,"Punjab University Employees Society, Lahore, Punjab",6,8 Marla,6
House,PKR43 Thousand,"Gulberg, Lahore, Punjab",3,4.8 Marla,3
House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",7,10 Marla,5
Upper Portion,PKR60 Thousand,"Wapda Town, Lahore, Punjab",2,1 Kanal,3
Lower Portion,PKR60 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR75 Thousand,"PCSIR Housing Scheme, Lahore, Punjab",3,1 Kanal,3
House,PKR55 Thousand,"Raiwind Road, Lahore, Punjab",4,5 Marla,4
House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR30 Thousand,"Valencia Housing Society, Lahore, Punjab",2,6 Marla,2
Lower Portion,PKR60 Thousand,"Valencia Housing Society, Lahore, Punjab",3,1 Kanal,3
House,PKR20 Thousand,"Sue-e-Asal, Lahore, Punjab",3,10 Marla,4
Flat,PKR30 Thousand,"Valencia Housing Society, Lahore, Punjab",2,4 Marla,2
Upper Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",1,5 Marla,2
Upper Portion,PKR28 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR16 Thousand,"Kamahan Road, Lahore, Punjab",1,5 Marla,2
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
Upper Portion,PKR40 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,2
House,PKR16.5 Thousand,"Lalazaar Garden, Lahore, Punjab",2,2 Marla,2
House,PKR60 Thousand,"Data Darbar Road, Lahore, Punjab",2,8 Marla,3
House,PKR50 Thousand,"Raiwind Road, Lahore, Punjab",4,3 Marla,3
Lower Portion,PKR2.5 Lakh,"Multan Road, Lahore, Punjab",-,15 Marla,-
House,PKR1.5 Lakh,"Cavalry Ground, Lahore, Punjab",4,1 Kanal,3
House,PKR80 Thousand,"Askari, Lahore, Punjab",3,12 Marla,3
House,PKR75 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",3,1 Kanal,3
Flat,PKR10 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
Upper Portion,PKR55 Thousand,"LDA Avenue, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR33 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,1
Flat,PKR10 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
House,PKR30 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
Upper Portion,PKR55 Thousand,"LDA Avenue, Lahore, Punjab",4,1 Kanal,3
Upper Portion,PKR70 Thousand,"Architects Engineers Housing Society, Lahore, Punjab",4,1 Kanal,3
Lower Portion,PKR33 Thousand,"Cavalry Ground, Lahore, Punjab",2,6 Marla,1
House,PKR30 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,3
Lower Portion,PKR18 Thousand,"BOR - Board of Revenue Housing Society, Lahore, Punjab",1,3 Marla,1
Upper Portion,PKR30 Thousand,"Gulberg, Lahore, Punjab",2,4.9 Marla,2
House,PKR1.55 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
Flat,PKR45 Thousand,"Rehan Garden, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR26 Thousand,"Model Town, Lahore, Punjab",2,5 Marla,2
House,PKR50 Thousand,"GCP Housing Scheme, Lahore, Punjab",3,5 Marla,3
House,PKR2 Lakh,"Gulshan-e-Ravi, Lahore, Punjab",9,1 Kanal,8
House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR80 Thousand,"Wapda Town, Lahore, Punjab",5,10 Marla,4
Upper Portion,PKR65 Thousand,"OPF Housing Scheme, Lahore, Punjab",4,16 Marla,3
Flat,PKR15 Thousand,"Jan Muhammad Road, Lahore, Punjab",1,1.1 Marla,1
House,PKR35 Thousand,"Baghbanpura, Lahore, Punjab",2,8 Marla,4
Penthouse,PKR30 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1
Upper Portion,PKR45 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
Flat,PKR15 Thousand,"Shadab Garden, Lahore, Punjab",1,4 Marla,1
Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
House,PKR45 Thousand,"Mughalpura, Lahore, Punjab",4,5 Marla,4
House,PKR17 Thousand,"Fateh Garh, Lahore, Punjab",-,1.5 Marla,-
House,PKR50 Thousand,"Johar Town, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR33 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
Room,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",1,0.9 Marla,1
House,PKR46 Thousand,"Punjab Government Servant Housing Foundation, Lahore, Punjab",4,12 Marla,3
Upper Portion,PKR55 Thousand,"Wapda Town, Lahore, Punjab",3,1 Kanal,3
House,PKR60 Thousand,"Park View City, Lahore, Punjab",5,5 Marla,5
House,PKR55 Thousand,"State Life Housing Society, Lahore, Punjab",3,5 Marla,3
House,PKR1.3 Lakh,"Tricon Village, Lahore, Punjab",7,1.1 Kanal,5
Flat,PKR20 Thousand,"DHA Defence, Lahore, Punjab",1,3 Marla,1
House,PKR85 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",5,10 Marla,4
Room,PKR15.5 Thousand,"Johar Town, Lahore, Punjab",1,2 Marla,1
Upper Portion,PKR20 Thousand,"Eden, Lahore, Punjab",1,3 Marla,2
Upper Portion,PKR20 Thousand,"Sher Ali Road, Lahore, Punjab",2,3.5 Marla,2
Lower Portion,PKR21 Thousand,"GT Road, Lahore, Punjab",3,5 Marla,2
House,PKR60 Thousand,"Gulshan-e-Ravi, Lahore, Punjab",2,5 Marla,2
Flat,PKR20 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,3 Marla,2
House,PKR65 Thousand,"Punjab University Employees Society, Lahore, Punjab",3,10 Marla,3
House,PKR2.5 Lakh,"Johar Town, Lahore, Punjab",9,1.1 Kanal,9
House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR55 Thousand,"Marghzar Officers Colony, Lahore, Punjab",4,1 Kanal,4
House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
House,PKR55 Thousand,"Jubilee Town, Lahore, Punjab",6,5 Marla,5
House,PKR50 Thousand,"Gulshan-e-Ravi, Lahore, Punjab",3,5 Marla,4
House,PKR65 Thousand,"Jail Road, Lahore, Punjab",3,5 Marla,3
Flat,PKR35 Thousand,"Johar Town, Lahore, Punjab",2,3.1 Marla,2
Flat,PKR20 Thousand,"Johar Town, Lahore, Punjab",1,1.6 Marla,1
Flat,PKR15 Thousand,"Wahdat Colony, Lahore, Punjab",1,3.1 Marla,1
Upper Portion,PKR35 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR35 Thousand,"PCSIR Staff Colony, Lahore, Punjab",3,10 Marla,3
House,PKR4 Lakh,"Cantt, Lahore, Punjab",3,1.2 Kanal,3
Upper Portion,PKR35 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",2,10 Marla,2
House,PKR50 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,4
Upper Portion,PKR98 Thousand,"Gulberg, Lahore, Punjab",2,1 Kanal,2
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,-
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,3
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",-,10 Marla,-
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
Lower Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,2
House,PKR22 Thousand,"Park View City, Lahore, Punjab",2,5.4 Marla,2
Lower Portion,PKR38.5 Thousand,"Mustafa Town, Lahore, Punjab",2,7 Marla,2
Lower Portion,PKR1.8 Lakh,"Cavalry Ground, Lahore, Punjab",5,2 Kanal,5
Upper Portion,PKR36 Thousand,"Nasheman-e-Iqbal, Lahore, Punjab",3,10 Marla,3
Flat,PKR30 Thousand,"Mustafa Town, Lahore, Punjab",-,5 Marla,-
Upper Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",3,5 Marla,3
Lower Portion,PKR25 Thousand,"Jubilee Town, Lahore, Punjab",2,5 Marla,2
House,PKR60 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,3
House,PKR47 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3
Lower Portion,PKR18 Thousand,"Hajvery Housing Scheme, Lahore, Punjab",2,5 Marla,2
Upper Portion,PKR70 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",2,1 Kanal,2
House,PKR1.1 Lakh,"HBFC Housing Society, Lahore, Punjab",-,16 Marla,-
Flat,PKR22 Thousand,"Mason Road, Lahore, Punjab",2,3 Marla,2
House,PKR25 Thousand,"BOR - Board of Revenue Housing Society, Lahore, Punjab",2,5 Marla,2
Flat,PKR22 Thousand,"Allama Iqbal Town, Lahore, Punjab",1,3 Marla,1
House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
House,PKR55 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
House,PKR20 Thousand,"Shoukat Town, Lahore, Punjab",1,3 Marla,2
House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",3,3 Marla,3
Upper Portion,PKR80 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,3
House,PKR35 Thousand,"Jubilee Town, Lahore, Punjab",3,3 Marla,3
House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
Upper Portion,PKR22 Thousand,"Military Accounts Housing Society, Lahore, Punjab",2,4 Marla,1
Flat,PKR20 Thousand,"Bahria Orchard, Lahore, Punjab",1,5 Marla,2
Upper Portion,PKR35 Thousand,"Model Town, Lahore, Punjab",2,8 Marla,2
House,PKR26 Thousand,"Rizwan Garden Scheme, Lahore, Punjab",-,3 Marla,-
Room,PKR15 Thousand,"Askari, Lahore, Punjab",1,5 Marla,1
House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,5 Marla,3
House,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
Room,PKR8 Thousand,"Mehmood Booti, Lahore, Punjab",1,2 Marla,1
House,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR35 Thousand,"Raiwind Road, Lahore, Punjab",3,1 Kanal,3
Upper Portion,PKR70 Thousand,"Model Town, Lahore, Punjab",3,1 Kanal,4
