Type,Price,Location,Baths,Area,Beds
House,PKR6.5 Lakh,"Gulberg, Lahore, Punjab",4,1.5 Kanal,4
House,PKR93 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
House,PKR87 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
House,PKR90 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR1.6 Lakh,"Askari, Lahore, Punjab",5,1 Kanal,4
Flat,PKR70 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
House,PKR95 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
House,PKR80 Thousand,"Punjab University Employees Society, Lahore, Punjab",5,10 Marla,5
Flat,PKR2.95 Lakh,"Airport Road, Lahore, Punjab",3,8 Marla,3
Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
Upper Portion,PKR58 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
House,PKR1.15 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
Upper Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",3,5 Marla,2
House,PKR50 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
Lower Portion,PKR25 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
House,PKR65 Thousand,"Central Park Housing Scheme, Lahore, Punjab",6,10 Marla,5
House,PKR45 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,5 Marla,3
Upper Portion,PKR40 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,10 Marla,3
Upper Portion,PKR60 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,1 Kanal,3
House,PKR70 Thousand,"Central Park Housing Scheme, Lahore, Punjab",5,10 Marla,5
House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",8,2 Kanal,8
Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
